lat,lon,dT_local
-87.5,180.0,0.8915831446647644
-85.0,-177.5,0.6441565586573045
-85.0,-175.0,0.6244413000378023
-85.0,-172.5,0.618809194591315
-85.0,-170.0,0.6095149981961875
-85.0,-167.5,0.6128954671395687
-85.0,-165.0,0.6063899694687199
-85.0,-162.5,0.6194240788254488
-85.0,-160.0,0.6444403540408211
-85.0,-157.5,0.6491963488540529
-85.0,-155.0,0.6455260885602893
-85.0,-152.5,0.6449902111049196
-85.0,-150.0,0.6435521805669334
-85.0,-147.5,0.6381846420723355
-85.0,-145.0,0.634708741424289
-85.0,-142.5,0.6280235177867004
-85.0,-140.0,0.6182215306504439
-85.0,-137.5,0.6223396719560745
-85.0,-135.0,0.6192799538724607
-85.0,-132.5,0.6136506368453661
-85.0,-130.0,0.6068430981321686
-85.0,-127.5,0.6072052564665552
-85.0,-125.0,0.6132884177636587
-85.0,-122.5,0.6274000364495543
-85.0,-120.0,0.6346830493300845
-85.0,-117.5,0.6458292756679934
-85.0,-115.0,0.6542177242791435
-85.0,-112.5,0.6737816983097503
-85.0,-110.0,0.701987576760131
-85.0,-107.5,0.7536040207336804
-85.0,-105.0,0.7881528361943798
-85.0,-102.5,0.8302279721791167
-85.0,-100.0,0.8889802123798403
-85.0,-97.5,0.9195580087863756
-85.0,-95.0,0.9270682124840851
-85.0,-92.5,0.9495938043542098
-85.0,-90.0,0.9666592459103629
-85.0,-87.5,0.9816877216887031
-85.0,-85.0,0.994312547689468
-85.0,-82.5,1.0044293436364604
-85.0,-80.0,1.0197065188194934
-85.0,-77.5,1.0358445309469013
-85.0,-75.0,1.049678936694167
-85.0,-72.5,1.0558073823168825
-85.0,-70.0,1.0628531024522838
-85.0,-67.5,1.068532967518537
-85.0,-65.0,1.0625706736819474
-85.0,-62.5,1.0720774799317747
-85.0,-60.0,1.0712593378770103
-85.0,-57.5,1.0657893365689046
-85.0,-55.0,1.0585029636223424
-85.0,-52.5,1.057953120013413
-85.0,-50.0,1.0519825981162974
-85.0,-47.5,1.0445501529694834
-85.0,-45.0,1.0402147576615284
-85.0,-42.5,1.0329770715937547
-85.0,-40.0,1.0291978661940608
-85.0,-37.5,1.0305313441745394
-85.0,-35.0,1.028006246542008
-85.0,-32.5,1.0307599337161786
-85.0,-30.0,1.0354561765691686
-85.0,-27.5,1.0357059574583105
-85.0,-25.0,1.0411950694595937
-85.0,-22.5,1.047627842222253
-85.0,-20.0,1.0543812660496223
-85.0,-17.5,1.0674748033488841
-85.0,-15.0,1.0734046436184446
-85.0,-12.5,1.079560984174038
-85.0,-10.0,1.089652129080895
-85.0,-7.5,1.0910850131792857
-85.0,-5.0,1.0920240138686639
-85.0,-2.5,1.0899765868834919
-85.0,0.0,1.0919382387736913
-85.0,2.5,1.0903138331724913
-85.0,5.0,1.082882396214852
-85.0,7.5,1.0777093568872036
-85.0,10.0,1.071154406599519
-85.0,12.5,1.064168640025246
-85.0,15.0,1.0529097765970241
-85.0,17.5,1.0495354048007897
-85.0,20.0,1.035512917973445
-85.0,22.5,1.029307814559357
-85.0,25.0,1.0251052620124002
-85.0,27.5,1.017789902351601
-85.0,30.0,1.016294995605217
-85.0,32.5,1.0236248458471815
-85.0,35.0,1.0212678430216744
-85.0,37.5,1.0209465999896845
-85.0,40.0,1.0225556008895684
-85.0,42.5,1.0293159046929736
-85.0,45.0,1.0324959069803228
-85.0,47.5,1.039453726634253
-85.0,50.0,1.0459636641463608
-85.0,52.5,1.0455954980940374
-85.0,55.0,1.055963014168774
-85.0,57.5,1.068175410657172
-85.0,60.0,1.0748573904371557
-85.0,62.5,1.0814080512522437
-85.0,65.0,1.086932205681718
-85.0,67.5,1.0867724539785237
-85.0,70.0,1.0889603919894493
