con,Omega,ygross,ynet,inv,Eind,scc,carbontax,Dam,Emissions
1238.6198,0.0443001,1733.2638,1656.4801,417.86026,54.69819,404.4562,263.7271,76.78376,54.786617
1252.1398,0.044582244,1752.7861,1674.6431,422.50314,54.348495,409.59903,262.41183,78.14314,54.43492
1265.7346,0.044862878,1772.4249,1692.9088,427.17426,53.996815,414.77878,261.103,79.51608,54.081272
1279.4017,0.045142006,1792.1785,1711.2759,431.87415,53.64327,419.99216,259.80072,80.90253,53.72581
1293.1418,0.04541961,1812.0458,1729.7433,436.6015,53.28808,425.2425,258.50494,82.302414,53.368736
1306.9551,0.045695692,1832.0264,1748.3108,441.35574,52.93126,430.53052,257.21564,83.71572,53.010086
1320.8411,0.045970224,1852.1202,1766.9779,446.13675,52.57273,435.85587,255.93274,85.14237,52.64977
1334.8014,0.04624321,1872.3285,1785.7461,450.9446,52.212738,441.2196,254.65625,86.58247,52.28802
1348.8337,0.046514627,1892.6487,1804.6128,455.77908,51.851498,446.62024,253.38615,88.03584,51.925068
1362.9382,0.04678446,1913.0812,1823.5789,460.64044,51.488796,452.0585,252.12239,89.502464,51.560696
1377.116,0.04705271,1933.6271,1842.6448,465.5288,51.12489,457.53473,250.8649,90.9824,51.195152
1391.3673,0.04731937,1954.2839,1861.8085,470.44113,50.75986,463.0483,249.61372,92.475494,50.82853
1405.7231,0.04758443,1975.0526,1881.0709,475.34787,50.393673,468.59918,248.36877,93.98174,50.460773
1420.1394,0.04784788,1995.9197,1900.4193,480.27985,50.02623,474.1791,247.12999,95.50052,50.09181
1434.6187,0.04810971,2016.8877,1919.8557,485.23712,49.657635,479.79013,245.89742,97.03188,49.72172
1449.163,0.048369918,2037.9586,1939.3828,490.21994,49.28803,485.43338,244.67102,98.5759,49.35066
1463.7725,0.048628487,2059.1338,1959.0012,495.22864,48.9176,491.1101,243.45068,100.13256,48.9788
1478.4492,0.048885424,2080.4136,1978.7117,500.26263,48.5464,496.8208,242.2365,101.701904,48.606213
1493.194,0.049140707,2101.7998,1998.5157,505.32196,48.174446,502.56644,241.02832,103.28393,48.232903
1508.0054,0.049394324,2123.29,2018.4115,510.40616,47.801964,508.34668,239.82622,104.87848,47.859093
1522.8856,0.049646296,2144.8875,2038.4016,515.5159,47.428997,514.1627,238.63002,106.48571,47.48482
1537.8339,0.04989659,2166.5903,2058.4849,520.6509,47.055626,520.01404,237.43987,108.10546,47.110184
1552.8492,0.050145198,2188.3977,2078.6602,525.8109,46.68187,525.9006,236.25562,109.73764,46.735188
