con,Omega,Theta,ygross,ynet,inv,Eind,carbontax,Abatement,Dam,Emissions
1329.1132,0.0031426838,0.003129455,1793.2783,1787.6426,452.9351,0.0,262.41183,5.6119833,5.635706,0.086422846
1344.2643,0.0031404805,0.0030594177,1813.5586,1807.8633,458.06793,0.0,261.103,5.5484333,5.695445,0.08445772
1359.5023,0.0031382774,0.0029908943,1833.9557,1828.2003,463.22998,0.0,259.80072,5.485168,5.755462,0.08253733
1374.8273,0.0031360723,0.0029238586,1854.4694,1848.6536,468.42105,0.0,258.50494,5.4222064,5.8157506,0.080660604
1390.2388,0.0031338662,0.0028582783,1875.0992,1869.2229,473.64133,0.0,257.21564,5.3595557,5.876311,0.07882659
1405.7369,0.0031316585,0.0027941125,1895.8446,1889.9075,478.88995,0.0,255.93274,5.2972035,5.937138,0.07703425
1421.3217,0.0031294501,0.0027313381,1916.7067,1910.7085,484.16803,0.0,254.65625,5.235174,5.998237,0.07528265
1436.9913,0.003127239,0.0026699363,1937.6835,1931.6238,489.4752,0.0,253.38615,5.173491,6.059599,0.073570944
1452.7479,0.0031250264,0.0026098613,1958.7745,1952.6534,494.8094,0.0,252.12239,5.11213,6.121222,0.07189812
1468.5892,0.0031228112,0.0025510928,1979.9813,1973.7983,500.17365,0.0,250.8649,5.0511165,6.183108,0.070263304
1484.5161,0.0031205928,0.0024936064,2001.3011,1995.0559,505.56494,0.0,249.61372,4.9904575,6.245246,0.06866569
1500.5276,0.0031183718,0.0024373673,2022.7354,2016.4277,510.98553,0.0,248.36877,4.930149,6.3076415,0.067104384
1516.6235,0.0031161471,0.0023823571,2044.283,2037.9127,516.43414,0.0,247.12999,4.870212,6.3702865,0.06557857
1532.8032,0.003113919,0.0023285467,2065.943,2059.51,521.911,0.0,245.89742,4.810645,6.433179,0.0640875
1549.0671,0.0031116863,0.002275911,2087.7156,2081.2192,527.41565,0.0,244.67102,4.751455,6.496316,0.06263029
1565.4137,0.00310945,0.0022244274,2109.6,2103.0403,532.94867,0.0,243.45068,4.6926527,6.5596957,0.06120621
1581.8434,0.0031072092,0.00217407,2131.595,2124.9717,538.5086,0.0,242.2365,4.6342373,6.623312,0.05981458
1598.3566,0.003104964,0.0021248101,2153.7024,2147.015,544.0966,0.0,241.02832,4.5762086,6.6871676,0.058454506
1614.9512,0.003102715,0.0020766328,2175.9182,2169.167,549.7114,0.0,239.82622,4.5185833,6.7512546,0.0571254
1631.6277,0.0031004602,0.0020295097,2198.245,2191.4297,555.3543,0.0,238.63002,4.46136,6.815572,0.055826504
1648.385,0.0030982017,0.0019834216,2220.6816,2213.8013,561.0256,0.0,237.43987,4.404548,6.88012,0.054557145
1665.2231,0.0030959372,0.0019383439,2243.2258,2236.281,566.7233,0.0,236.25562,4.348143,6.944886,0.05331663
1682.1438,0.003093667,0.001894257,2265.879,2258.8694,572.4465,0.0,235.07727,4.292157,7.0098753,0.052104335
1699.1431,0.0030913916,0.0018511389,2288.6404,2281.565,578.19855,0.0,233.90482,4.236591,7.075084,0.050919604
1716.223,0.0030891104,0.0018089695,2311.509,2304.3684,583.97687,0.0,232.73819,4.1814494,7.1405063,0.049761795
1733.3827,0.0030868228,0.0017677286,2334.4836,2327.2776,589.78094,0.0,231.5774,4.126734,7.2061377,0.048630323
1750.6194,0.00308453,0.0017273996,2357.5642,2350.2922,595.61304,0.0,230.42236,4.072456,7.271978,0.04752458
1767.9347,0.00308223,0.0016879576,2380.7493,2373.4114,601.4705,0.0,229.27316,4.018604,7.338016,0.04644402
1785.3293,0.003079924,0.0016493856,2404.0403,2396.636,607.3539,0.0,228.12962,3.9651895,7.4042616,0.045387972
1802.8005,0.0030776109,0.0016116692,2427.4355,2419.965,613.2644,0.0,226.99182,3.912223,7.470702,0.044355944
1820.3477,0.0030752905,0.0015747835,2450.9336,2443.3965,619.20105,0.0,225.85965,3.85969,7.537333,0.043347377
1837.974,0.0030729638,0.0015387142,2474.5366,2466.9326,625.16266,0.0,224.73318,3.8076046,7.6041613,0.04236175
1855.6747,0.0030706292,0.0015034468,2498.2405,2490.5693,631.1502,0.0,223.6123,3.755972,7.6711707,0.041398562
1873.4495,0.0030682883,0.0014689587,2522.045,2514.3066,637.1637,0.0,222.49709,3.7047799,7.738361,0.040457286
1891.3019,0.00306594,0.001435238,2545.9524,2538.1467,643.20197,0.0,221.38739,3.6540475,7.8057365,0.0395374
1909.2272,0.0030635835,0.0014022634,2569.959,2562.0857,649.26575,0.0,220.28323,3.6037593,7.8732834,0.038638424
1927.2277,0.0030612203,0.0013700217,2594.067,2586.1257,655.35504,0.0,219.18459,3.5539281,7.9410095,0.037759893
1945.3026,0.003058849,0.0013384967,2618.2747,2610.2656,661.4693,0.0,218.09134,3.5045516,8.008906,0.0369013
1963.4506,0.0030564703,0.0013076729,2642.5803,2634.5032,667.6076,0.0,217.00356,3.4556305,8.076968,0.03606223
