foc_kplus,foc_lambd,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_MLFplus,foc_TOCplus
2.247e-04,8.745e-04,1.586e-04,4.503e-04,4.357e-05,1.380e-05,9.865e-05,1.158e-04
2.203e-04,9.062e-04,1.575e-04,4.553e-04,4.271e-05,1.219e-05,8.970e-05,1.116e-04
2.236e-04,9.351e-04,1.551e-04,4.591e-04,4.154e-05,1.036e-05,8.225e-05,1.048e-04
2.311e-04,9.546e-04,1.508e-04,4.622e-04,4.035e-05,8.915e-06,7.343e-05,1.004e-04
2.390e-04,9.687e-04,1.476e-04,4.660e-04,4.017e-05,6.952e-06,6.598e-05,9.459e-05
2.483e-04,9.782e-04,1.435e-04,4.697e-04,3.844e-05,5.246e-06,5.788e-05,8.944e-05
2.985e-04,9.806e-04,1.154e-04,4.710e-04,5.567e-05,2.220e-05,4.584e-05,9.239e-05
3.840e-04,9.599e-04,7.723e-05,4.561e-04,9.051e-05,5.366e-05,2.819e-05,9.635e-05
3.871e-04,8.926e-04,1.003e-04,4.189e-04,8.634e-05,5.168e-05,2.718e-05,8.243e-05
3.948e-04,8.159e-04,1.258e-04,3.858e-04,8.851e-05,4.684e-05,3.165e-05,7.543e-05
4.394e-04,7.355e-04,1.996e-04,4.369e-04,1.625e-04,1.011e-05,1.115e-04,1.752e-04
3.526e-04,7.150e-04,1.933e-04,4.432e-04,1.799e-04,2.919e-05,1.367e-04,2.092e-04
3.024e-04,7.699e-04,1.974e-04,4.365e-04,1.781e-04,3.099e-05,1.333e-04,2.032e-04
2.793e-04,8.051e-04,2.020e-04,4.250e-04,1.726e-04,2.817e-05,1.279e-04,1.901e-04
2.713e-04,8.142e-04,2.051e-04,4.143e-04,1.668e-04,2.584e-05,1.197e-04,1.782e-04
2.658e-04,8.106e-04,2.091e-04,4.041e-04,1.614e-04,2.371e-05,1.124e-04,1.677e-04
2.662e-04,7.987e-04,2.099e-04,3.927e-04,1.552e-04,2.125e-05,1.066e-04,1.547e-04
2.660e-04,7.825e-04,2.121e-04,3.825e-04,1.490e-04,1.857e-05,9.948e-05,1.455e-04
2.660e-04,7.617e-04,2.136e-04,3.721e-04,1.431e-04,1.587e-05,9.376e-05,1.327e-04
2.676e-04,7.365e-04,2.147e-04,3.613e-04,1.374e-04,1.359e-05,8.702e-05,1.236e-04
2.679e-04,7.076e-04,2.154e-04,3.514e-04,1.314e-04,1.094e-05,8.124e-05,1.137e-04
2.701e-04,6.745e-04,2.151e-04,3.418e-04,1.250e-04,8.840e-06,7.570e-05,1.036e-04
2.708e-04,6.392e-04,2.155e-04,3.322e-04,1.199e-04,6.296e-06,6.896e-05,9.507e-05
