con,Omega,ygross,ynet,inv,Eind,scc,carbontax,Dam,Emissions
766.86273,0.026060779,1052.5558,1025.1252,258.2626,66.249214,192.43352,322.11758,27.430422,66.47112
777.46265,0.026320972,1067.4045,1039.3093,261.8467,66.0563,195.51694,320.51096,28.095123,66.27316
788.1448,0.026580758,1082.3748,1053.6044,265.4596,65.85739,198.63083,318.91235,28.770338,66.06931
798.90936,0.026840126,1097.4662,1068.01,269.1006,65.65282,201.77496,317.32175,29.456131,65.859924
809.7555,0.027099019,1112.6788,1082.5264,272.77087,65.44234,204.9503,315.73904,30.152506,65.644745
820.683,0.027357427,1128.0121,1097.1526,276.4696,65.22635,208.15703,314.16434,30.85951,65.42415
831.6938,0.027615327,1143.4681,1111.8909,280.19708,65.00487,211.39525,312.59738,31.577244,65.19817
842.78564,0.027872683,1159.0446,1126.7389,283.95322,64.77798,214.6646,311.0383,32.305683,64.96688
853.9592,0.02812948,1174.7423,1141.6975,287.73825,64.54583,217.9655,309.487,33.04489,64.73044
865.2148,0.02838568,1190.5619,1156.7668,291.55215,64.30844,221.29828,307.94342,33.794907,64.48885
876.55176,0.02864127,1206.5028,1171.947,295.39526,64.0659,224.6628,306.4075,34.55577,64.24221
887.9708,0.028896224,1222.5662,1187.2388,299.26794,63.818493,228.05762,304.87927,35.32755,63.990795
899.4699,0.029150505,1238.7499,1202.6396,303.16977,63.56619,231.48245,303.35867,36.110184,63.73457
911.0481,0.029404106,1255.0555,1218.1517,307.10364,63.309086,234.93759,301.84564,36.903786,63.47365
922.705,0.029657,1271.4806,1233.7725,311.06732,63.04727,238.42322,300.34024,37.708305,63.208088
934.4427,0.029909166,1288.0265,1249.5026,315.0599,62.780933,241.94028,298.8423,38.523796,62.938095
946.26215,0.030160574,1304.6932,1265.343,319.0808,62.510044,245.48936,297.35178,39.3503,62.66363
958.16376,0.03041121,1321.4805,1281.2927,323.129,62.234734,249.07126,295.8687,40.18782,62.38483
970.14557,0.030661054,1338.3882,1297.3517,327.20612,61.95519,252.68466,294.393,41.03639,62.101864
982.20703,0.030910078,1355.415,1313.519,331.312,61.67148,256.32953,292.92477,41.895985,61.814823
994.3494,0.031158268,1372.5629,1329.7961,335.44666,61.383667,260.0062,291.46375,42.76668,61.523754
1006.5725,0.031405605,1389.831,1346.1826,339.61005,61.091866,263.71463,290.01004,43.648483,61.228767
1018.87524,0.031652056,1407.2189,1362.6775,343.80222,60.79622,267.45453,288.56363,44.54137,60.93001
1031.2578,0.031897616,1424.7263,1379.2809,348.02322,60.496872,271.2264,287.12442,45.44537,60.627613
1043.7205,0.03214225,1442.3536,1395.9932,352.27264,60.193832,275.03024,285.69235,46.360497,60.3216
1056.2645,0.03238596,1460.1013,1412.8145,356.55005,59.887203,278.86285,284.26752,47.28678,60.012066
1068.8868,0.032628708,1477.9668,1429.7427,360.85583,59.577106,282.72653,282.8497,48.224148,59.699135
1081.5885,0.03287049,1495.9518,1446.779,365.19052,59.26362,286.6218,281.43893,49.172665,59.382874
1094.3685,0.033111285,1514.0541,1463.9219,369.55322,58.946747,290.54837,280.03522,50.132275,59.06329
1107.228,0.03335108,1532.2755,1481.1725,373.94455,58.62691,294.50543,278.6386,51.103035,58.740803
1120.166,0.03358985,1550.6151,1498.5302,378.36417,58.303837,298.4919,277.2489,52.08493,58.41514
1133.1827,0.033827588,1569.0726,1515.9946,382.8119,57.97785,302.51,275.86612,53.07794,58.086624
1146.2782,0.034064278,1587.6487,1533.5665,387.28842,57.648968,306.5596,274.4902,54.082104,57.755264
1159.4518,0.034299888,1606.3425,1551.2451,391.79324,57.31727,310.6409,273.12112,55.09737,57.42115
1172.7029,0.034534425,1625.153,1569.0293,396.32635,56.982918,314.75372,271.7589,56.123722,57.084435
1186.033,0.034767866,1644.0818,1586.9207,400.88766,56.645977,318.89865,270.40353,57.161217,56.745186
1199.4407,0.035000198,1663.1279,1604.9181,405.47748,56.306606,323.0752,269.05487,58.209805,56.403564
1212.9266,0.035231393,1682.2913,1623.0217,410.0951,55.964817,327.28387,267.71292,59.26946,56.059566
1226.4897,0.03546146,1701.5725,1641.232,414.74237,55.620747,331.52228,266.3777,60.34024,55.71334
1240.1283,0.035690375,1720.9688,1659.5466,419.4184,55.274475,335.78796,265.04916,61.42202,55.364967
1253.8441,0.035918124,1740.4817,1677.9668,424.12277,54.925964,340.08524,263.7271,62.51484,55.014397
1267.636,0.03614469,1760.1097,1696.4911,428.85516,54.575577,344.41376,262.41183,63.618618,54.662003
1281.505,0.03637008,1779.8541,1715.1206,433.6156,54.22313,348.7739,261.103,64.73344,54.307587
1295.4502,0.036594264,1799.7133,1733.854,438.40387,53.8688,353.16565,259.80072,65.859184,53.951344
1309.4717,0.036817238,1819.6875,1752.6918,443.22,53.5128,357.58878,258.50494,66.995865,53.59346
1323.5688,0.037038986,1839.7758,1771.6323,448.0635,53.155155,362.04324,257.21564,68.14343,53.233986
1337.7412,0.03725951,1859.9779,1790.6759,452.93478,52.79577,366.52908,255.93274,69.30187,52.872807
1351.9902,0.037478782,1880.295,1809.8239,457.83362,52.4349,371.04657,254.65625,70.47117,52.510185
1366.3137,0.0376968,1900.7252,1829.0739,462.76016,52.072765,375.59528,253.38615,71.65126,52.146336
1380.7125,0.037913572,1921.2678,1848.4258,467.71326,51.709137,380.1754,252.12239,72.84213,51.781033
1395.1859,0.03812906,1941.9244,1867.8806,472.6947,51.344265,384.7868,250.8649,74.043755,51.41453
1409.7378,0.03834328,1962.6924,1887.4364,477.69852,50.978264,389.4298,249.61372,75.25607,51.04693
1424.3718,0.038556203,1983.5725,1907.0935,482.72162,50.61106,394.1039,248.36877,76.47903,50.67816
1439.078,0.038767826,2004.5616,1926.8491,487.7711,50.242832,398.80762,247.12999,77.712494,50.30841
1453.8561,0.038978156,2025.6597,1946.7031,492.8472,49.87361,403.54105,245.89742,78.95648,49.937702
1468.7065,0.039187152,2046.867,1966.6562,497.9497,49.50347,408.30493,244.67102,80.210884,49.566105
1483.6283,0.039394844,2068.183,1986.7074,503.0792,49.13258,413.0987,243.45068,81.47575,49.193787
1498.6216,0.03960121,2089.6074,2006.8564,508.23486,48.760937,417.92255,242.2365,82.750984,48.820747
1513.6873,0.039806243,2111.141,2027.1045,513.41724,48.388557,422.7768,241.02832,84.0366,48.447014
1528.8232,0.040009934,2132.7815,2047.4492,518.6259,48.015648,427.6609,239.82622,85.33245,48.072777
1544.0319,0.04021228,2154.5312,2067.8923,523.8606,47.642235,432.57553,238.63002,86.63861,47.698063
1559.3113,0.04041327,2176.388,2088.433,529.1218,47.268417,437.5204,237.43987,87.95497,47.32297
1574.661,0.040612895,2198.3513,2109.0698,534.40894,46.894196,442.49527,236.25562,89.28141,46.94751
1590.0812,0.040811162,2220.4211,2129.8032,539.7219,46.519703,447.50027,235.07727,90.617966,46.571808
1605.5717,0.04100807,2242.597,2150.6323,545.06067,46.14497,452.535,233.90482,91.96458,46.19589
1621.1318,0.04120359,2264.8784,2171.5571,550.4254,45.770096,457.5999,232.73819,93.32111,45.819855
1636.7617,0.041397728,2287.2646,2192.577,555.8154,45.39512,462.69455,231.5774,94.68756,45.44375
1652.4594,0.041590493,2309.7546,2213.6907,561.23126,45.0202,467.81845,230.42236,96.063835,45.067726
1668.2258,0.041781873,2332.3477,2234.8977,566.6719,44.645218,472.97186,229.27316,97.44985,44.691658
1684.0613,0.04197186,2355.0452,2256.1995,572.1383,44.27036,478.15494,228.12962,98.84563,44.31575
1699.9642,0.04216046,2377.845,2277.5938,577.6296,43.895756,483.36722,226.99182,100.25103,43.94011
1715.9338,0.042347647,2400.7456,2299.0798,583.14606,43.52128,488.60834,225.85965,101.66593,43.56463
1731.9724,0.04253345,2423.7498,2320.6594,588.6871,43.14713,493.87906,224.73318,103.09044,43.189487
1748.076,0.042717848,2446.8533,2342.329,594.25287,42.773384,499.1787,223.6123,104.524315,42.81478
1764.2446,0.042900834,2470.056,2364.0881,599.8437,42.39995,504.50623,222.49709,105.96746,42.440407
1780.4808,0.04308242,2493.3596,2385.9395,605.4587,42.027092,509.86334,221.38739,107.419975,42.066628
1796.7809,0.043262593,2516.761,2407.8794,611.0985,41.654648,515.2482,220.28323,108.88161,41.693287
1813.1473,0.04344135,2540.2622,2429.9097,616.7623,41.28282,520.66187,219.18459,110.35242,41.32058
1829.5787,0.043618705,2563.8618,2452.0298,622.451,40.911633,526.1041,218.09134,111.83234,40.948532
1846.0732,0.043794636,2587.5571,2474.2358,628.1628,40.541096,531.5739,217.00356,113.32112,40.57716
1862.6317,0.043969154,2611.3494,2496.5305,633.8989,40.171333,537.0718,215.92122,114.818825,40.206573
1879.2516,0.044142254,2635.2354,2518.9104,639.65857,39.80225,542.59656,214.84435,116.325226,39.83669
1895.9357,0.04431393,2659.2175,2541.3772,645.4415,39.43411,548.1495,213.7728,117.840385,39.467766
1912.6825,0.0444842,2683.2952,2563.931,651.2484,39.066868,553.73035,212.70659,119.364235,39.099762
1929.4896,0.044653054,2707.4646,2586.568,657.0785,38.700478,559.3378,211.6457,120.89657,38.732624
