foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_MLFplus,foc_TOCplus
1.875e-04,1.445e-04,5.613e-04,2.132e-04,7.331e-05,8.225e-06,7.532e-06,2.789e-05,7.838e-06
1.721e-04,1.361e-04,5.727e-04,2.111e-04,7.796e-05,8.196e-06,6.762e-06,2.915e-05,5.990e-06
1.571e-04,1.309e-04,5.795e-04,2.092e-04,8.303e-05,8.643e-06,6.565e-06,3.141e-05,5.603e-06
1.422e-04,1.280e-04,5.818e-04,2.064e-04,9.006e-05,7.868e-06,6.029e-06,3.093e-05,3.874e-06
1.276e-04,1.256e-04,5.796e-04,2.041e-04,9.781e-05,7.272e-06,5.601e-06,3.135e-05,3.904e-06
1.153e-04,1.264e-04,5.729e-04,2.023e-04,1.050e-04,7.153e-06,4.783e-06,3.159e-05,2.325e-06
1.014e-04,1.271e-04,5.619e-04,1.988e-04,1.135e-04,7.123e-06,5.128e-06,3.207e-05,3.695e-06
8.947e-05,1.297e-04,5.466e-04,1.969e-04,1.224e-04,7.510e-06,4.510e-06,3.129e-05,2.295e-06
7.862e-05,1.335e-04,5.271e-04,1.943e-04,1.315e-04,6.080e-06,4.263e-06,2.974e-05,3.040e-06
6.777e-05,1.400e-04,5.035e-04,1.913e-04,1.405e-04,6.318e-06,3.454e-06,2.980e-05,2.801e-06
5.776e-05,1.438e-04,4.759e-04,1.893e-04,1.497e-04,5.364e-06,3.853e-06,2.807e-05,2.682e-06
4.882e-05,1.500e-04,4.444e-04,1.866e-04,1.584e-04,5.603e-06,2.883e-06,2.766e-05,4.500e-06
3.982e-05,1.569e-04,4.091e-04,1.836e-04,1.678e-04,4.679e-06,2.398e-06,2.611e-05,3.994e-06
3.201e-05,1.631e-04,3.703e-04,1.807e-04,1.763e-04,4.739e-06,2.459e-06,2.480e-05,5.662e-06
2.569e-05,1.700e-04,3.278e-04,1.781e-04,1.848e-04,4.709e-06,1.962e-06,2.360e-05,6.557e-06
1.729e-05,1.781e-04,2.820e-04,1.754e-04,1.932e-04,3.964e-06,1.107e-06,2.140e-05,6.646e-06
1.216e-05,1.848e-04,2.330e-04,1.719e-04,2.009e-04,4.053e-06,1.392e-06,2.021e-05,8.881e-06
6.378e-06,1.926e-04,1.807e-04,1.692e-04,2.086e-04,3.666e-06,9.069e-07,1.842e-05,1.082e-05
1.192e-06,1.984e-04,1.255e-04,1.660e-04,2.157e-04,3.308e-06,6.815e-07,1.675e-05,1.180e-05
2.980e-06,2.060e-04,6.738e-05,1.630e-04,2.228e-04,3.695e-06,2.366e-07,1.532e-05,1.359e-05
6.855e-06,2.124e-04,6.512e-06,1.605e-04,2.284e-04,2.861e-06,1.572e-07,1.311e-05,1.571e-05
1.037e-05,2.196e-04,5.695e-05,1.566e-04,2.342e-04,3.159e-06,6.359e-07,1.174e-05,1.743e-05
1.240e-05,2.244e-04,1.229e-04,1.536e-04,2.400e-04,3.487e-06,1.215e-06,9.358e-06,1.937e-05
1.496e-05,2.306e-04,1.912e-04,1.500e-04,2.444e-04,2.861e-06,1.259e-06,8.106e-06,2.262e-05
1.580e-05,2.360e-04,2.616e-04,1.465e-04,2.491e-04,3.010e-06,2.010e-06,5.782e-06,2.402e-05
1.782e-05,2.403e-04,3.341e-04,1.433e-04,2.533e-04,2.950e-06,2.550e-06,3.397e-06,2.688e-05
1.824e-05,2.429e-04,4.085e-04,1.400e-04,2.555e-04,3.487e-06,2.208e-06,1.967e-06,2.986e-05
1.860e-05,2.475e-04,4.846e-04,1.363e-04,2.590e-04,3.159e-06,3.045e-06,5.960e-08,3.240e-05
1.836e-05,2.503e-04,5.623e-04,1.328e-04,2.609e-04,3.010e-06,3.063e-06,2.205e-06,3.538e-05
1.752e-05,2.532e-04,6.415e-04,1.288e-04,2.626e-04,2.623e-06,4.078e-06,4.351e-06,3.847e-05
1.645e-05,2.532e-04,7.219e-04,1.254e-04,2.639e-04,2.891e-06,4.394e-06,6.914e-06,4.140e-05
1.401e-05,2.542e-04,8.035e-04,1.215e-04,2.642e-04,3.070e-06,4.217e-06,9.179e-06,4.444e-05
1.222e-05,2.534e-04,8.860e-04,1.177e-04,2.646e-04,2.712e-06,5.272e-06,1.150e-05,4.828e-05
9.835e-06,2.520e-04,9.692e-04,1.137e-04,2.637e-04,3.308e-06,4.877e-06,1.377e-05,5.123e-05
6.199e-06,2.515e-04,1.053e-03,1.099e-04,2.629e-04,3.189e-06,5.781e-06,1.562e-05,5.427e-05
3.338e-06,2.489e-04,1.137e-03,1.058e-04,2.608e-04,3.308e-06,5.977e-06,1.907e-05,5.817e-05
1.371e-06,2.446e-04,1.221e-03,1.015e-04,2.585e-04,3.099e-06,6.223e-06,2.116e-05,6.154e-05
5.305e-06,2.391e-04,1.305e-03,9.733e-05,2.559e-04,3.129e-06,6.347e-06,2.366e-05,6.545e-05
1.079e-05,2.337e-04,1.387e-03,9.335e-05,2.518e-04,3.159e-06,7.311e-06,2.575e-05,6.944e-05
1.532e-05,2.279e-04,1.468e-03,8.917e-05,2.485e-04,3.189e-06,7.426e-06,2.939e-05,7.278e-05
2.217e-05,2.217e-04,1.545e-03,8.466e-05,2.437e-04,2.891e-06,7.789e-06,3.159e-05,7.713e-05
2.748e-05,2.120e-04,1.617e-03,8.018e-05,2.387e-04,3.040e-06,7.832e-06,3.481e-05,8.062e-05
3.350e-05,2.019e-04,1.675e-03,7.590e-05,2.328e-04,2.086e-06,8.798e-06,3.779e-05,8.467e-05
